Date,Precipitation_mm,PET_mm,Q_mm
2000-01-01,0.00,2.11,0.24
2000-01-02,0.00,2.13,0.24
2000-01-03,0.00,2.13,0.25
2000-01-04,0.00,2.12,0.27
2000-01-05,0.00,2.11,0.26
2000-01-06,0.00,2.13,0.26
2000-01-07,0.00,2.09,0.26
2000-01-08,0.00,2.12,0.26
2000-01-09,0.00,2.18,0.25
2000-01-10,0.00,2.24,0.25
2000-01-11,0.00,2.29,0.47
2000-01-12,0.00,2.32,0.49
2000-01-13,0.00,2.39,0.48
2000-01-14,0.00,2.44,0.32
2000-01-15,0.00,2.12,0.46
2000-01-16,0.00,2.09,0.49
2000-01-17,0.00,2.35,0.51
2000-01-18,0.00,2.34,0.53
2000-01-19,0.00,2.34,0.30
2000-01-20,0.00,2.41,0.26
2000-01-21,0.00,2.44,0.49
2000-01-22,0.00,2.54,0.44
2000-01-23,0.00,2.10,0.35
2000-01-24,0.00,2.45,0.26
2000-01-25,0.00,2.43,0.27
2000-01-26,0.04,2.37,0.33
2000-01-27,0.00,2.48,0.34
2000-01-28,0.00,2.52,0.39
2000-01-29,0.00,2.43,0.29
2000-01-30,0.00,2.41,0.33
2000-01-31,0.00,2.52,0.37
2000-02-01,0.00,2.58,0.28
2000-02-02,0.00,2.61,0.20
2000-02-03,0.00,2.72,0.17
2000-02-04,0.00,2.73,0.15
2000-02-05,0.00,2.46,0.14
2000-02-06,0.14,2.18,0.14
2000-02-07,2.29,2.60,0.13
2000-02-08,0.22,2.26,0.08
2000-02-09,2.47,1.13,0.07
2000-02-10,1.61,2.43,0.07
2000-02-11,0.11,2.24,0.07
2000-02-12,1.46,1.52,0.07
2000-02-13,1.67,2.09,0.11
2000-02-14,3.98,1.01,0.15
2000-02-15,2.43,2.79,0.16
2000-02-16,0.01,2.73,0.17
2000-02-17,4.58,2.56,0.41
2000-02-18,9.58,2.50,0.24
2000-02-19,0.71,2.77,0.42
2000-02-20,0.04,1.43,0.34
2000-02-21,2.03,2.38,0.25
2000-02-22,8.52,1.96,0.27
2000-02-23,0.04,1.67,0.25
2000-02-24,0.00,1.87,0.25
2000-02-25,4.95,0.98,0.50
2000-02-26,1.16,0.66,0.74
2000-02-27,0.03,3.03,0.71
2000-02-28,0.00,3.11,0.67
2000-02-29,0.00,3.15,0.59
2000-03-01,0.00,3.22,0.48
2000-03-02,0.00,3.23,0.50
2000-03-03,0.00,3.28,0.47
2000-03-04,0.00,3.31,0.41
2000-03-05,0.00,3.30,0.40
2000-03-06,0.00,3.31,0.38
2000-03-07,0.00,2.95,0.29
2000-03-08,0.00,2.87,0.26
2000-03-09,0.00,3.28,0.25
2000-03-10,0.00,3.25,0.22
2000-03-11,0.00,3.35,0.08
2000-03-12,0.00,3.34,0.08
2000-03-13,0.00,3.13,0.07
2000-03-14,0.75,3.07,0.04
2000-03-15,0.00,3.44,0.14
2000-03-16,0.00,3.38,0.16
2000-03-17,0.00,3.41,0.19
2000-03-18,0.00,3.31,0.23
2000-03-19,0.00,3.51,0.20
2000-03-20,0.00,3.46,0.17
2000-03-21,0.02,3.47,0.16
2000-03-22,0.00,3.32,0.15
2000-03-23,0.00,3.54,0.13
2000-03-24,0.00,3.58,0.09
2000-03-25,0.00,3.55,0.18
2000-03-26,0.00,3.52,0.30
2000-03-27,0.05,3.12,0.42
2000-03-28,0.00,3.13,0.44
2000-03-29,0.00,3.63,0.30
2000-03-30,0.00,3.64,0.28
2000-03-31,0.00,3.70,0.28
2000-04-01,0.00,3.80,0.43
2000-04-02,0.00,3.90,0.36
2000-04-03,0.00,3.88,0.29
2000-04-04,0.00,3.59,0.28
2000-04-05,0.00,3.65,0.27
2000-04-06,0.00,3.68,0.21
2000-04-07,0.00,3.59,0.43
2000-04-08,0.00,3.86,0.27
2000-04-09,0.67,3.55,0.26
2000-04-10,0.01,3.86,0.25
2000-04-11,0.00,3.74,0.25
2000-04-12,0.00,3.73,0.24
2000-04-13,0.00,3.57,0.23
2000-04-14,0.08,3.64,0.23
2000-04-15,0.12,3.81,0.23
2000-04-16,0.89,3.87,0.24
2000-04-17,1.54,3.77,0.24
2000-04-18,0.00,3.66,0.23
2000-04-19,0.25,3.82,0.22
2000-04-20,0.00,3.85,0.21
2000-04-21,0.00,3.72,0.21
2000-04-22,0.09,3.82,0.34
2000-04-23,0.04,3.95,0.43
2000-04-24,1.25,3.89,0.30
2000-04-25,0.69,3.82,0.46
2000-04-26,0.07,3.97,0.28
2000-04-27,0.00,3.82,0.42
2000-04-28,0.07,3.83,0.43
2000-04-29,0.05,3.96,0.28
2000-04-30,0.04,3.94,0.27
2000-05-01,0.01,3.97,0.26
2000-05-02,0.04,3.83,0.24
2000-05-03,0.00,3.92,0.25
2000-05-04,2.71,3.87,0.24
2000-05-05,0.28,4.08,0.21
2000-05-06,4.30,3.64,0.25
2000-05-07,0.04,3.90,0.25
2000-05-08,5.02,3.64,0.26
2000-05-09,0.00,3.94,0.45
2000-05-10,0.74,3.75,0.46
2000-05-11,0.42,3.96,0.45
2000-05-12,0.05,3.99,0.50
2000-05-13,1.50,4.10,0.47
2000-05-14,0.00,4.06,0.48
2000-05-15,0.57,3.89,0.46
2000-05-16,0.49,3.38,0.42
2000-05-17,4.39,3.92,0.26
2000-05-18,4.00,3.94,0.26
2000-05-19,0.00,4.29,0.26
2000-05-20,0.61,4.20,0.24
2000-05-21,7.37,3.52,0.23
2000-05-22,2.80,3.61,0.27
2000-05-23,4.11,3.48,0.25
2000-05-24,1.49,3.80,0.25
2000-05-25,0.07,4.21,0.27
2000-05-26,1.68,4.38,0.25
2000-05-27,0.00,4.25,0.24
2000-05-28,0.49,4.02,0.25
2000-05-29,1.07,3.93,0.27
2000-05-30,0.08,4.07,0.26
2000-05-31,2.25,3.65,0.23
2000-06-01,16.67,3.99,0.26
2000-06-02,1.14,3.40,0.27
2000-06-03,0.29,3.00,0.26
2000-06-04,0.97,3.12,0.26
2000-06-05,4.78,2.03,0.25
2000-06-06,9.33,2.03,0.25
2000-06-07,9.94,3.01,0.30
2000-06-08,2.95,3.82,0.34
2000-06-09,0.63,3.63,0.34
2000-06-10,0.01,3.21,0.38
2000-06-11,19.80,2.34,0.29
2000-06-12,1.01,2.12,0.27
2000-06-13,1.43,2.42,0.43
2000-06-14,7.65,2.88,0.64
2000-06-15,4.27,3.06,0.57
2000-06-16,16.35,2.43,0.73
2000-06-17,7.40,2.31,0.68
2000-06-18,23.57,0.88,0.60
2000-06-19,6.79,2.27,0.60
2000-06-20,0.21,2.58,0.94
2000-06-21,0.80,1.33,1.09
2000-06-22,6.76,1.13,0.73
2000-06-23,1.77,3.53,0.64
2000-06-24,1.12,3.98,0.56
2000-06-25,2.00,4.15,0.47
2000-06-26,6.47,3.93,0.43
2000-06-27,10.60,3.56,0.49
2000-06-28,5.53,2.36,0.51
2000-06-29,9.21,2.88,0.69
2000-06-30,4.29,3.04,0.68
2000-07-01,2.54,2.94,0.53
2000-07-02,0.74,3.05,0.67
2000-07-03,3.76,3.73,0.53
2000-07-04,0.04,3.88,0.43
2000-07-05,1.11,4.11,0.42
2000-07-06,0.11,3.88,0.47
2000-07-07,0.03,2.78,0.42
2000-07-08,6.93,2.25,0.34
2000-07-09,11.42,3.42,0.30
2000-07-10,13.78,1.08,0.27
2000-07-11,14.86,1.45,1.00
2000-07-12,47.09,0.93,5.98
2000-07-13,5.24,2.24,3.00
2000-07-14,4.47,1.44,2.05
2000-07-15,0.59,2.71,2.01
2000-07-16,6.89,1.01,1.07
2000-07-17,48.63,1.06,2.15
2000-07-18,65.97,0.68,6.83
2000-07-19,14.37,0.64,14.62
2000-07-20,6.03,2.50,8.53
2000-07-21,0.21,3.39,5.12
2000-07-22,0.50,3.51,3.23
2000-07-23,9.76,3.10,2.69
2000-07-24,0.57,2.71,2.15
2000-07-25,1.21,2.55,1.70
2000-07-26,7.02,0.92,1.08
2000-07-27,6.37,2.72,0.86
2000-07-28,6.26,2.15,0.82
2000-07-29,3.87,3.72,0.95
2000-07-30,8.38,3.16,1.00
2000-07-31,4.91,3.56,0.98
2000-08-01,3.05,3.32,2.07
2000-08-02,0.11,3.49,1.69
2000-08-03,1.46,3.27,0.86
2000-08-04,0.11,3.47,0.80
2000-08-05,5.22,2.64,0.67
2000-08-06,4.63,3.05,0.45
2000-08-07,4.51,1.76,0.57
2000-08-08,15.93,2.28,0.72
2000-08-09,4.86,1.43,1.35
2000-08-10,7.81,2.80,1.41
2000-08-11,5.78,2.21,0.78
2000-08-12,0.95,2.54,0.85
2000-08-13,0.26,2.47,0.93
2000-08-14,11.11,2.50,0.65
2000-08-15,17.74,2.38,0.64
2000-08-16,6.79,2.79,0.85
2000-08-17,10.09,1.97,2.45
2000-08-18,15.99,0.82,3.03
2000-08-19,11.72,1.09,3.13
2000-08-20,5.32,1.47,2.56
2000-08-21,11.79,1.73,3.50
2000-08-22,9.92,2.83,2.80
2000-08-23,9.32,2.90,2.03
2000-08-24,6.23,2.92,2.53
2000-08-25,4.16,2.29,1.82
2000-08-26,7.87,2.48,1.13
2000-08-27,11.05,2.16,1.65
2000-08-28,13.94,1.82,1.27
2000-08-29,19.78,1.92,1.38
2000-08-30,18.60,1.28,2.53
2000-08-31,17.93,1.06,12.64
2000-09-01,0.61,3.05,8.23
2000-09-02,0.25,1.75,5.12
2000-09-03,0.17,3.11,4.04
2000-09-04,5.65,3.25,2.72
2000-09-05,3.99,3.04,2.23
2000-09-06,5.15,2.98,1.47
2000-09-07,5.43,2.23,1.28
2000-09-08,6.05,2.06,1.59
2000-09-09,15.01,1.20,1.63
2000-09-10,16.24,2.61,3.16
2000-09-11,0.73,3.32,3.43
2000-09-12,0.00,3.61,2.48
2000-09-13,0.00,3.71,1.71
2000-09-14,0.71,2.47,1.14
2000-09-15,9.73,3.40,0.93
2000-09-16,8.81,3.26,0.82
2000-09-17,6.11,2.53,0.79
2000-09-18,12.89,1.96,1.01
